Year,Rank,Song Title,Artist
2000,1,breathe,faithhill
2000,2,smooth,santana
2000,3,mariamaria,santana
2000,4,iwannaknow,joe
2000,5,everythingyouwant,verticalhorizon
2000,6,saymyname,destinyschild
2000,7,iknewilovedyou,savagegarden
2000,8,amazed,lonestar
2000,9,bent,matchbox20
2000,10,hewasntmanenough,tonibraxton
2001,1,hangingbyamoment,lifehouse
2001,2,fallin,aliciakeys
2001,3,allforyou,janetjackson
2001,4,dropsofjupiter,train
2001,5,imreal,jenniferlopez
2001,6,ifyouregone,matchbox20
2001,7,letmeblowyamind,eve
2001,8,thankyou,dido
2001,9,again,lennykravitz
2001,10,independentwomen,destinyschild
2002,1,howyouremindme,nickelback
2002,2,foolish,ashanti
2002,3,hotinherre,nelly
2002,4,dilemma,nelly
2002,5,whereveryouwillgo,calling
2002,6,athousandmiles,vanessacarlton
2002,7,intheend,linkinpark
2002,8,whatsluv,fatjoe
2002,9,ugotitbad,usher
2002,10,blurry,puddleofmudd
2003,1,indaclub,50cent
2003,2,ignition,rkelly
2003,3,getbusy,seanpaul
2003,4,crazyinlove,beyonceknowles
2003,5,whenimgone,3doorsdown
2003,6,unwell,matchbox20
2003,7,rightthurr,chingy
2003,8,missyou,aaliyah
2003,9,picture,kidrock
2003,10,bringmetolife,evanescence
2004,1,yeah,usher
2004,2,burn,usher
2004,3,ifiaintgotyou,aliciakeys
2004,4,thislove,maroon5
2004,5,thewayyoumove,outkast
2004,6,thereason,hoobastank
2004,7,idontwannaknow,mariowinans
2004,8,heyya,outkast
2004,9,goodies,ciara
2004,10,leanback,terrorsquad
2005,1,webelongtogether,mariahcarey
2005,2,hollabackgirl,gwenstefani
2005,3,letmeloveyou,mario
2005,4,sinceubeengone,kellyclarkson
2005,5,12step,ciara
2005,6,golddigger,kanyewest
2005,7,boulevardofbrokendreams,greenday
2005,8,candyshop,50cent
2005,9,dontcha,pussycatdolls
2005,10,behindthesehazeleyes,kellyclarkson
2006,1,badday,danielpowter
2006,2,temperature,seanpaul
2006,3,promiscuous,nellyfurtado
2006,4,yourebeautiful,jamesblunt
2006,5,hipsdontlie,shakira
2006,6,unwritten,natashabedingfield
2006,7,crazy,gnarlsbarkley
2006,8,ridin,chamillionaire
2006,9,sexyback,justintimberlake
2006,10,checkonit,beyonceknowles
2007,1,irreplaceable,beyonceknowles
2007,2,umbrella,rihanna
2007,3,thesweetescape,gwenstefani
2007,4,biggirlsdontcry,fergie
2007,5,buyuadrankshawtysnappin,tpain
2007,6,beforehecheats,carrieunderwood
2007,7,heytheredelilah,plainwhitets
2007,8,iwannaloveyou,akon
2007,9,sayitright,nellyfurtado
2007,10,glamorous,fergie
2008,1,low,florida
2008,2,bleedinglove,leonalewis
2008,3,noone,aliciakeys
2008,4,lollipop,lilwayne
2008,5,apologize,timbaland
2008,6,noair,jordinsparks
2008,7,lovesong,sarabareilles
2008,8,loveinthisclub,usher
2008,9,withyou,chrisbrown
2009,1,boomboompow,blackeyedpeas
2009,2,pokerface,ladygaga
2009,3,justdance,ladygaga
2009,4,igottafeelin,blackeyedpeas
2009,5,lovestory,taylorswift
2009,6,rightround,florida
2009,7,imyours,jasonmraz
2009,8,singleladiesputaringonit,beyonceknowles
2009,9,heartless,kanyewest
2009,10,givesyouhell,allamericanrejects
2010,1,tiktok,keha
2010,2,needyounow,ladyantebellum
2010,3,heysoulsister,train
2010,4,californiagurls,katyperry
2010,5,omg,usher
2010,6,airplanes,bob
2010,7,lovethewayyoulie,eminem
2010,8,badromance,ladygaga
2010,9,dynamite,taiocruz
2010,10,breakyourheart,taiocruz
2011,1,rollinginthedeep,adele
2011,2,partyrockanthem,lmfao
2011,3,firework,katyperry
2011,4,et,katyperry
2011,5,givemeeverything,pitbull
2011,6,grenade,brunomars
2011,7,fuckyou,ceelogreen
2011,8,superbass,nickiminaj
2011,9,moveslikejagger,maroon5
2011,10,justcantgetenough,blackeyedpeas
2012,1,somebodythatiusedtoknow,gotye
2012,2,callmemaybe,carlyraejepsen
2012,3,weareyoung,fun
2012,4,payphone,maroon5
2012,5,lights,elliegoulding
2012,6,gladyoucame,wanted
2012,7,whatdoesntkillyoustronger,kellyclarkson
2012,8,wefoundlove,rihanna
2012,9,starships,nickiminaj
2012,10,whatmakesyoubeautiful,onedirection
2013,1,thriftshop,macklemore
2013,2,blurredlines,robinthicke
2013,3,radioactive,imaginedragons
2013,4,harlemshake,baauer
2013,5,cantholdus,macklemore
2013,6,mirrors,justintimberlake
2013,7,justgivemeareason,pink
2013,8,wheniwasyourman,brunomars
2013,9,cruise,floridageorgialine
2013,10,roar,katyperry
2014,1,happy,pharrellwilliams
2014,2,darkhorse,katyperry
2014,3,allofme,johnlegend
2014,4,fancy,iggyazalea
2014,5,countingstars,onerepublic
2014,6,talkdirty,jasonderulo
2014,7,rude,magic
2014,8,allaboutthatbass,meghantrainor
2014,9,problem,arianagrande
2014,10,staywithme,samsmith
2015,1,uptownfunk,markronson
2015,2,thinkingoutloud,edsheeran
2015,3,seeyouagain,wizkhalifa
2015,4,trapqueen,fettywap
2015,5,sugar,maroon5
2015,6,shutupanddance,walkthemoon
2015,7,blankspace,taylorswift
2015,8,watchmewhipnaenae,silento
2015,9,earnedit,weeknd
2016,1,loveyourself,justinbieber
2016,3,onedance,drake
2016,4,work,rihanna
2016,5,stressedout,twentyonepilots
2016,6,panda,desiigner
2016,7,hello,adele
2016,8,dontletmedown,chainsmokers
2016,9,cantstopthefeeling,justintimberlake
2016,10,closer,chainsmokers
2017,1,shapeofyou,edsheeran
2017,2,despacito,luisfonsi
2017,3,thatswhatilike,brunomars
2017,4,humble,kendricklamar
2017,5,somethingjustlikethis,chainsmokers
2017,6,badandboujee,migos
2017,7,closer,chainsmokers
2017,8,bodylikeabackroad,samhunt
2017,9,believer,imaginedragons
2017,10,congratulations,postmalone
2018,1,godsplan,drake
2018,2,perfect,edsheeran
2018,3,meanttobe,beberexha
2018,4,havana,camilacabello
2018,5,rockstar,postmalone
2018,6,psycho,postmalone
2018,7,ilikeit,cardi-b
2018,8,themiddle,zedd
2018,9,inmyfeelings,drake
2018,10,girlslikeyou,maroon5
2019,1,oldtownroad,lilnasx
2019,2,sunflower,postmalone
2019,3,withoutme,halsey
2019,4,badguy,billieeilish
2019,5,wow,postmalone
2019,6,happier,marshmello
2019,7,7rings,arianagrande
2019,8,talk,khalid
2019,9,sickomode,travisscott
2019,10,sucker,jonasbrothers
